product_name,product_Short description,product_Description,Product_Tax status,In_stock?,product_Stock,product_Weight (g),product_Length (cm),product_Width (cm),product_Height (cm),"product_Sale price,price,rate,value,Rupees,rs,₹",product_Regular price ,product_Category,product_variants,product_colors,product_Attribute 1 name,product_color,Attribute 1 visible,product_Attribute 1 global,product_Attribute 1 default,product_link,product_discount
Graffiti Vibe Daypack,"Stand out from the crowd with the Graffiti Vibe Daypack ??? where style meets practicality. Designed for trend-savvy students and explorers, these backpacks feature bold urban prints, graffiti-style artwork, and modern color palettes that turn heads. With spacious compartments and comfy straps, it???s built for everything from school days to weekend outings.","1)Art-Inspired Prints: Graffiti graphics, bold fonts, and animal icons for a fresh urban look
\n2)Roomy Compartments: Large main storage and front pocket to keep items organized
\n3)Front Flap Pocket: Quick-access space for small essentials
\n4)Padded Support: Cushioned shoulder straps and back panel for all-day comfort
\n5)Durable Materials: Built to last through school, travel, and daily wear
\n6)Side Mesh Pockets: Ideal for bottles or snacks
\n7)Unique Color Combos: Choose from earthy tones, vibrant blues, and soft pastels",taxable,1,100,850,16,30,42,1750,2670,School Bags,"Black School Bags, Blue School Bags, Brown School Bags, Cream School Bags, School, School Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Black"":{""name"":""Black"",""color"":""#000000"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Blue"":{""name"":""Blue"",""color"":""#0000FF"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Brown"":{""name"":""Brown"",""color"":""#964B00"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Cream"":{""name"":""Cream"",""color"":""#FFFDD0"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,"Black, Blue, Brown, Cream",1,1,Black,https://grabaggs.com/product/graffiti-vibe-daypack/,33%
Melody Pop Backpack,"Turn heads with the MelodyPop Backpack ??? a charming blend of soft pastel tones, musical notes, and adorable details. Whether it's for school, casual outings, or weekend fun, this backpack adds a sweet rhythm to your everyday look. With cute character badges, functional compartments, and soft-touch materials, it???s the perfect mix of style and comfort.","1)Pastel Color Options: Available in soft pink, creamy beige, and classic black
\n2)Cute Cartoon Pins: Comes with removable character pins for extra charm
\n3)Multiple Compartments: Easy-to-access front pocket, spacious main storage, and side pouches
\n4)Comfort Fit: Padded shoulder straps and breathable back panel for all-day comfort
\n5)Secure &amp; Stylish: Buckle strap design gives it a modern, mini-satchel vibe
\n6)Perfect for Teens &amp; Tweens: Fashion-forward look with practical use for school and day trips",taxable,1,100,850,20,22,35,1750,2670,School Bags,"Black School Bags, Grey School Bags, Pink School Bags, School, School Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Black"":{""name"":""Black"",""color"":""#000000"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Grey"":{""name"":""Grey"",""color"":""#808080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Pink"":{""name"":""Pink"",""color"":""#c93eab"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,"Black, Grey, Pink",1,1,Black,https://grabaggs.com/product/melodypop-backpack/,33%
Bunny Bloom Bag,"Add a little sparkle to school days with the BunnyBloom Bag ??? the perfect backpack for young dreamers! Featuring pastel tones, cheerful bunny prints, and thoughtful storage solutions, this backpack combines cuteness with comfort. Whether it???s books, stationery, or little treasures, there's a space for everything.","1)Charming Bunny Design ??? Playful and adorable bunny print with ???Happiness??? detail for a cheerful school day.
\n2)Spacious &amp; Organized ??? Multiple compartments including a large main section, front pocket, and side bottle holders.
\n3)Pastel Perfection ??? Available in dreamy pink, soft blue, and creamy beige to match every personality.
\n4)Secure Zippers ??? Smooth, high-quality zippers to keep essentials safe.
\n5)Comfortable Fit ??? Adjustable padded shoulder straps and back panel for everyday comfort.
\n6)Cute &amp; Practical ??? Great for school, daycare, or casual outings",taxable,1,100,850,16,32,46,1799,2699,School Bags,"Blue School Bags, Cream School Bags, Grey School Bags, Pink School Bags, School Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#0000FF"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Cream"":{""name"":""Cream"",""color"":""#FFFDD0"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Grey"":{""name"":""Grey"",""color"":""#808080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Pink"":{""name"":""Pink"",""color"":""#c93eab"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,"Blue, Cream, Grey, Pink",1,1,Blue,https://grabaggs.com/product/bunnybloom-bag/,33%
Whimsical Wonder Backpack,"Spark your child's imagination with our Whimsical Wonder Backpack! Designed for comfort and durability, this lightweight bag features a fun, eye-catching design with playful letter and number accents. Multiple compartments keep belongings organized, while padded straps ensure all-day comfort for school, travel, and adventures","1)Fun and engaging design with colorful letter and number details.
\n2)Lightweight and comfortable for young shoulders.
\n3)Multiple compartments for easy organization of books, stationery, and snacks.
\n4)Durable and easy-to-clean material.
\n5)Padded shoulder straps for comfortable carrying.
\n6)Available in a variety of appealing colors",taxable,1,100,850,20,34,46,1699,2599,School Bags,"Black School Bags, Cream School Bags, Grey School Bags, Pink School Bags, School Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Black"":{""name"":""Black"",""color"":""#000000"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Cream"":{""name"":""Cream"",""color"":""#FFFDD0"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Grey"":{""name"":""Grey"",""color"":""#808080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Pink"":{""name"":""Pink"",""color"":""#c93eab"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,"Black, Cream, Grey, Pink",1,1,Cream,https://grabaggs.com/product/whimsical-wonder-backpack/,35%
Moo Mates Cattle Buddy Backpack - Blue,,Blue,taxable,1,,,,,46,1970,2870,,,,color,Blue,,1,,https://grabaggs.com/product/moo-mates-cattle-buddy-backpack/,
Unicorn Backpack,"Let your imagination soar with our Unicorn Backpack! This delightful bag features a charming unicorn design and sparkling accents, perfect for adding a touch of magic to everyday adventures. With multiple compartments to keep belongings organized and comfortable padded straps, this backpack is ideal for school, travel, and playdates","1)Whimsical unicorn design with glitter or shimmering details.
\n2)Available in a range of beautiful pastel colors (pink, purple, mint green, blue).
\n3)Multiple compartments for easy organization of books, stationery, and toys.
\n4)Lightweight and comfortable for children to carry.
\n5)Durable material designed to withstand daily use.
\n6)Adjustable, padded shoulder straps for a comfortable fit.",taxable,1,100,850,18,29,42,1770,2670,School Bags,"Blue School Bags, Pink School Bags, Purple School Bags, School Bags, Turquoise School Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#0000FF"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Pink"":{""name"":""Pink"",""color"":""#c93eab"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Purple"":{""name"":""Purple"",""color"":""#800080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Turquoise"":{""name"":""Turquoise"",""color"":""#40E0D0"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,"Blue, Pink, Purple, Turquoise",1,1,Turquoise,https://grabaggs.com/product/unicorn-backpack/,33%
Moo Mates Cattle Buddy Backpack - Grey,,Grey,taxable,1,,,,,21,1970,2870,,,,color,Grey,,1,,https://grabaggs.com/product/moo-mates-cattle-buddy-backpack/,
Urban Streak Gear Pack - Blue,,Blue With Yellow,taxable,1,,,,,,1770,2670,,,,color,Blue,,1,,https://grabaggs.com/product/urban-streak-gearpack/,
Checkered Charm Backpack,"Add a touch of classic style to your everyday with our Checkered Charm Backpack. Featuring a charming plaid accent on the front pocket and straps, this backpack offers a delightful blend of fashion and functionality. With multiple compartments to keep your belongings organized and comfortable straps for easy carrying, it's perfect for school, work, or casual outings","1)Stylish plaid detailing on the front pocket and straps.
\n2)Available in a variety of appealing color combinations (cream/pink plaid, purple/lavender plaid, light blue/pink plaid, solid pink/pink plaid).
\n3)Multiple compartments for organized storage of books, devices, and essentials.
\n4)Durable and easy-to-clean material.
\n5)Comfortable, adjustable shoulder straps for a customized fit.
\n6)Sturdy top handle for easy grab-and-go.",taxable,1,100,850,20,34,46,1830,2730,School Bags,"Blue School Bags, Cream School Bags, Pink School Bags, Purple School Bags, School Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#0000FF"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Cream"":{""name"":""Cream"",""color"":""#FFFDD0"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Pink"":{""name"":""Pink"",""color"":""#c93eab"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Purple"":{""name"":""Purple"",""color"":""#800080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,"Blue, Cream, Pink, Purple",1,1,Blue,https://grabaggs.com/product/checkered-charm-backpack/,33%
Urban Streak Gear Pack - Black,,Black With Grey,taxable,1,,,,,,1770,2670,,,,color,Black,,1,,https://grabaggs.com/product/urban-streak-gearpack/,
Urban Streak Gear Pack - Sea Green,,Sea Green With Blue,taxable,1,,,,,,1770,2670,,,,color,Sea Green,,1,,https://grabaggs.com/product/urban-streak-gearpack/,
Duo Tone Backpack,"Add a pop of color to your day with our Duo Tone Backpack! Featuring a stylish and eye-catching color-blocked design, this backpack offers a fun and modern aesthetic. With ample storage space and comfortable straps, it's perfect for school, travel, or adding a playful touch to your everyday look","1)Trendy Color Block Design: Features a visually appealing combination of contrasting colors.
\n2)Variety of Color Combos: Available in several unique and stylish color pairings (e.g., beige/pink, pink/coral/lavender, light blue/red/navy).
\n3)Spacious Main Compartment: Offers plenty of room for books, notebooks, and other essentials. ??
\n4)Front Zippered Pocket: Provides additional storage for smaller items. ??
\n5)Side Mesh Pockets: Ideal for carrying water bottles or snacks.
\n6)Comfortable to Carry: Designed with padded shoulder straps and a back panel for comfortable wear. ??
\n7)Durable Material: Made from sturdy materials to withstand daily use.",taxable,1,100,850,12.5,26,35.5,1190,1799,School Bags,"Blue School Bags, Brown School Bags, Pink School Bags, School Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#0000FF"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Brown"":{""name"":""Brown"",""color"":""#964B00"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Pink"":{""name"":""Pink"",""color"":""#c93eab"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,"Blue, Brown, Pink",1,1,Blue,https://grabaggs.com/product/duo-tone-backpack/,33%
Graffiti Vibe Daypack - Blue,,Blue,taxable,1,,,,,,1750,2650,,,,color,Blue,,1,,https://grabaggs.com/product/graffiti-vibe-daypack/,
Graffiti Vibe Daypack - Cream,,Cream,taxable,1,,,,,,1750,2650,,,,color,Cream,,1,,https://grabaggs.com/product/graffiti-vibe-daypack/,
Graffiti Vibe Daypack - Black,,Black,taxable,1,,,,,,1750,2650,,,,color,Black,,1,,https://grabaggs.com/product/graffiti-vibe-daypack/,
Tie-Dye Dreams Pack,"Carry your essentials in a cloud of color with our Tie-Dye Dreams Pack. Featuring a beautiful and soft tie-dye effect in dreamy pastel shades, this backpack offers a unique and gentle aesthetic. With ample storage space and comfortable carrying straps, it's perfect for students and anyone who loves a touch of subtle, artistic flair","1)Dreamy Pastel Tie-Dye: Features a soft and visually appealing watercolor-like blend of pastel colors.
\n2)Variety of Gentle Hues: Available in light blue, soft pink, and delicate lavender combinations.
\n3)Spacious Main Compartment: Offers plenty of room for books, notebooks, and larger items.
\n4)Multiple Pockets for Organization: Includes a front zippered pocket and side pockets for keeping belongings tidy. ??
\n5)Comfortable to Carry: Designed with padded shoulder straps and a cushioned back panel. ??
\n6)Durable and Lightweight: Made from sturdy yet light materials for everyday use.
\n7)ncludes Fluffy Pom-Pom: Features a cute, detachable fluffy pom-pom for added charm.",taxable,1,100,850,20,34,46,1770,2699,School Bags,"Blue School Bags, Pink School Bags, Purple School Bags, School Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#0000FF"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Pink"":{""name"":""Pink"",""color"":""#c93eab"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Purple"":{""name"":""Purple"",""color"":""#800080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,"Blue, Pink, Purple",1,1,Blue,https://grabaggs.com/product/tie-dye-dreams-pack/,35%
Melody Pop Backpack - Black,,Black,taxable,1,,,,,,1770,2670,,,,color,Black,,1,,https://grabaggs.com/product/melodypop-backpack/,
Melody Pop Backpack - Grey,,Grey,taxable,1,,,,,,1770,2670,,,,color,Grey,,1,,https://grabaggs.com/product/melodypop-backpack/,
Simply Chic Backpack,"Embrace understated style with our Simply Chic Backpack. Featuring a clean, solid color design, this backpack offers a versatile and modern look. With ample storage space and comfortable carrying features, it's the perfect everyday companion for school, work, or casual outings.","1)Clean and Minimalist Design: Features a stylish solid color aesthetic.
\n2)Versatile Color Options: Available in classic and trendy solid colors (black, pink, light blue).
\n3)Spacious Main Compartment: Offers ample room for books, notebooks, and other essentials
\n4)Multiple Pockets for Organization: Includes a front zippered pocket and side pockets for keeping belongings tidy.
\n5)Comfortable to Carry: Designed with padded shoulder straps and a cushioned back panel.
\n6)Suitable for Various Ages: The simple yet stylish design appeals to a wide range of users.",taxable,1,100,850,20,34,46,1770,2699,School Bags,"Black School Bags, Blue School Bags, Pink School Bags, School Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Black"":{""name"":""Black"",""color"":""#000000"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Blue"":{""name"":""Blue"",""color"":""#0000FF"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Pink"":{""name"":""Pink"",""color"":""#c93eab"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,"Black, Blue, Pink",1,1,Black,https://grabaggs.com/product/simply-chic-backpack/,34%
Melody Pop Backpack - Pink,,Pink,taxable,1,,,,,,1770,2670,,,,color,Pink,,1,,https://grabaggs.com/product/melodypop-backpack/,
Bunny Bloom Bag - Blue,,Blue,taxable,1,,,,,,1799,2699,,,,color,Blue,,1,,https://grabaggs.com/product/bunnybloom-bag/,
Bunny Bloom Bag - Pink,,Pink,taxable,1,,,,,,1799,2699,,,,color,Pink,,1,,https://grabaggs.com/product/bunnybloom-bag/,
Magic Unicorn Backpack,"Embark on magical adventures with our Magic Unicorn Backpack! Featuring a beautifully detailed unicorn with a shimmering mane and tail, surrounded by delicate butterflies and stars, this backpack is sure to enchant. With multiple compartments to keep belongings organized and comfortable padded straps, it's perfect for school, playdates, and bringing a touch of fantasy to everyday","1)Enchanting Unicorn Design: Features a glittery unicorn graphic with rainbow accents.
\n2)Butterfly and Star Details: Adorned with delicate butterfly and star illustrations.
\n3)Multiple Compartments: Offers a spacious main compartment and additional zippered pockets for organization.
\n4)Comfortable to Carry: Designed with padded shoulder straps and a cushioned back panel.
\n5)Durable Material: Made from sturdy materials to withstand daily use.
\n6)Side Mesh Pockets: Perfect for holding water bottles or small items.
\n7)Includes Cute Pom-Pom: Comes with a fluffy pom-pom keychain for added charm.",taxable,1,100,850,18,29,42,1899,2799,School Bags,"Navy Blue School Bags, Purple School Bags, School Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Navy Blue"":{""name"":""Navy Blue"",""color"":""#000080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Purple"":{""name"":""Purple"",""color"":""#800080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,"Navy Blue, Purple",1,1,Purple,https://grabaggs.com/product/magic-unicorn-backpack/,32%
Bunny Bloom Bag - Cream,,Cream,taxable,1,,,,,,1799,2699,,,,color,Cream,,1,,https://grabaggs.com/product/bunnybloom-bag/,
Bunny Bloom Bag - Grey,,Grey,taxable,1,,,,,,1799,2699,,,,color,Grey,,1,,https://grabaggs.com/product/bunnybloom-bag/,
Whimsical Wonder Backpack - Black,,Black,taxable,1,,,,,,1699,2599,,,,color,Black,,1,,https://grabaggs.com/product/whimsical-wonder-backpack/,
Duo-Style Plaid Backpack,"Combine classic charm with playful details with our Duo-Style Plaid Backpack. Featuring a stylish blend of solid color panels and a delightful plaid accent on the lower section and straps, this backpack offers a unique and eye-catching look. Adorned with cute character patches, it's both fun and functional, with ample storage and comfortable straps for all your essentials.","1)Stylish Color &amp; Plaid Combo: Features a trendy mix of solid color and a charming plaid pattern.
\n2)Cute Character Patches: Adorned with adorable and playful character appliques.
\n3)Multiple Color Options: Available in a range of appealing color combinations (blue/blue plaid, pink/pink plaid, grey/grey plaid, light pink/pink plaid).
\n4)Spacious Main Compartment: Offers plenty of room for books, notebooks, and other items.
\n5)Front Zippered Pocket: Provides additional storage for smaller essentials.
\n6)Side Mesh Pockets: Perfect for holding water bottles or quick-access items.
\n7)Comfortable to Carry: Designed with padded shoulder straps and a cushioned back panel.
\n8)Includes Fluffy Pom-Pom: Features a cute, detachable fluffy pom-pom for added charm.",taxable,1,100,850,18,30,42,1799,2699,School Bags,"Blue School Bags, Grey School Bags, Pink School Bags, Purple School Bags, School Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#0000FF"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Grey"":{""name"":""Grey"",""color"":""#808080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Pink"":{""name"":""Pink"",""color"":""#c93eab"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Purple"":{""name"":""Purple"",""color"":""#800080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,"Blue, Grey, Pink, Purple",1,1,Grey,https://grabaggs.com/product/duo-style-plaid-backpack/,33%
Whimsical Wonder Backpack - Pink,,Pink,taxable,1,,,,,,1699,2599,,,,color,Pink,,1,,https://grabaggs.com/product/whimsical-wonder-backpack/,
Whimsical Wonder Backpack - Cream,,Cream,taxable,1,,,,,,1699,2599,,,,color,Cream,,1,,https://grabaggs.com/product/whimsical-wonder-backpack/,
Whimsical Wonder Backpack - Grey,,Grey,taxable,1,,,,,,1699,2599,,,,color,Grey,,1,,https://grabaggs.com/product/whimsical-wonder-backpack/,
Unicorn Backpack - Blue,,Blue,taxable,1,,,,,,1770,2670,,,,color,Blue,,1,,https://grabaggs.com/product/unicorn-backpack/,
